[2025-12-09 02:28:22] [INFO    ] discord.client: logging in using static token
[2025-12-09 02:28:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-09 02:28:22] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-09 02:28:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1447357866200793088', 'username': 'CirenBot', 'avatar': None, 'discriminator': '8636', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-09 02:28:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-09 02:28:23] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-09 02:28:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1447357866200793088', 'name': 'chat_bridge', 'icon': None, 'description': "A chat bridge made for my Minecraft world that is run on a server. This is merely just for practice and to have a project.\nThis project will teach me all about new modules, fetching data from API's and how to handle a bigger project.", 'type': None, 'bot': {'id': '1447357866200793088', 'username': 'CirenBot', 'avatar': None, 'discriminator': '8636', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8ad0aef1c8380eb45b428dd3e25f1285526e1448017590b65d270bd95cc67d66', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '176390619348860928', 'username': 'akaciren', 'avatar': '294add078722872bdb5afaf405c34fef', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2519165, 'global_name': 'Ciren', 'avatar_decoration_data': {'asset': 'a_8384f035d67eb209be18aaadf191f25e', 'sku_id': '1440174638930853951', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#26707d', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-09 02:28:23] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-09 02:28:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-3wcs",{"micros":0.0}]']}}
[2025-12-09 02:28:23] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-09 02:28:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
